1,A group of kids is playing in a yard and an old man is standing in the background,A group of boys in a yard is playing and a man is standing in the background,NEUTRAL,4.5,A_neutral_B,B_neutral_A,A group of children playing in a yard a man in the background.,A group of children playing in a yard a man in the background.,FLICKR,FLICKR,TRAIN,A:kids,A:old,B:boys,
3161,A man is cutting the tape on the box,A man is cutting a box,NEUTRAL,3.9,A_neutral_B,B_neutral_A,a man is cutting open a box,the man is slicing the tape from the box,SEMEVAL,SEMEVAL,TRAIN,A:tape,A:on,A:the,
3162,The man is not cutting the tape on the box,A man is cutting a box,NEUTRAL,3.1,A_neutral_B,B_neutral_A,a man is cutting open a box,the man is slicing the tape from the box,SEMEVAL,SEMEVAL,TRAIN,A:not,A:tape,A:on,A:the,
3166,A man is cutting a box,The man is cutting the tape on the box,NEUTRAL,3.7,A_neutral_B,B_neutral_A,a man is cutting open a box,the man is slicing the tape from the box,SEMEVAL,SEMEVAL,TRAIN,B:tape,B:on,B:the,
3168,A kid is playing an instrument,A kid is throwing away an instrument,NEUTRAL,3.1,A_neutral_B,B_neutral_A,a kid is playing an instrument,a kid is playing an instrument,SEMEVAL,SEMEVAL,TEST,A:playing,B:throwing,B:away,
3188,A woman is putting away a carrot,A woman is slicing a carrot,NEUTRAL,3.9,A_neutral_B,B_neutral_A,a woman is slicing a carrot,a woman is slicing a carrot,SEMEVAL,SEMEVAL,TRAIN,A:putting,A:away,B:slicing,
3191,The man is slicing a tomato,A woman is slicing a carrot,NEUTRAL,3,A_neutral_B,B_neutral_A,a woman is slicing a carrot,a man is slicing a tomato,SEMEVAL,SEMEVAL,TEST,A:man,A:tomato,B:woman,B:carrot,
3193,A man is slicing a tomato,A woman is slicing a carrot,NEUTRAL,3,A_neutral_B,B_neutral_A,a man is slicing a tomato,a woman is slicing a carrot,SEMEVAL,SEMEVAL,TEST,A:man,A:tomato,B:woman,B:carrot,
3229,A boy is walking across a bridge,A man is walking slowly across a rope bridge,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a boy is walking across a bridge,a man is walking slowly across a rope bridge,SEMEVAL,SEMEVAL,TEST,A:boy,B:man,B:slowly,B:rope,
3232,A boy is running away from the fishing line,A young man is running away from the fishing line,NEUTRAL,4.1,A_neutral_B,B_neutral_A,a boy runs away from his fishing line,a boy runs away from his fishing line,SEMEVAL,SEMEVAL,TRAIN,A:boy,B:young,B:man,
3243,A squirrel is running in circles,An animal is running tiredly in circles,NEUTRAL,3.9,A_neutral_B,B_neutral_A,a squirrel runs in circles,an animal run in circles,SEMEVAL,SEMEVAL,TRAIN,A:squirrel,B:animal,B:tiredly,
3289,A woman is putting away carrots,A woman is grating carrots,NEUTRAL,3.465,A_neutral_B,B_neutral_A,a woman is grating carrots,a woman is grating carrots,SEMEVAL,SEMEVAL,TEST,A:putting,A:away,B:grating,
3300,A man and a woman are walking through the woods,The man and woman are strolling,NEUTRAL,3.8,A_neutral_B,B_neutral_A,a man and a woman walk through the woods,the man and woman are walking,SEMEVAL,SEMEVAL,TEST,A:walking,A:through,A:woods,B:strolling,
3321,A woman is cooking a breaded pork chop,The woman is not frying a breaded pork chop,NEUTRAL,4,A_neutral_B,B_neutral_A,a woman is cooking a breaded pork chop,the woman is frying a breaded pork chop,SEMEVAL,SEMEVAL,TRAIN,A:cooking,B:not,B:frying,
3330,The man is slicing bread,A woman is slicing herbs,NEUTRAL,2.4,A_neutral_B,B_neutral_A,the man is slicing bread,the woman is slicing herbs,SEMEVAL,SEMEVAL,TRAIN,A:man,A:bread,B:woman,B:herbs,
3334,The woman is slicing herbs,The man is slicing bread,NEUTRAL,1.9,A_neutral_B,B_neutral_A,the man is slicing bread,the woman is slicing herbs,SEMEVAL,SEMEVAL,TEST,A:woman,A:herbs,B:man,B:bread,
3339,A top violin player is standing on the roof over a man,A man is standing on a roof top and playing a violin,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a man is standing on a roof top playing a violin,a man is standing on a roof top playing a violin,SEMEVAL,SEMEVAL,TRAIN,A:player,A:over,B:and,B:playing,
3349,Someone is putting away a keyboard,Someone is typing on a keyboard,NEUTRAL,3.315,A_neutral_B,B_neutral_A,someone typed on a keyboard,someone typed on a keyboard,SEMEVAL,SEMEVAL,TRAIN,A:putting,A:away,B:typing,B:on,
3351,Someone is typing,Someone is putting away a keyboard,NEUTRAL,2.9,A_neutral_B,B_neutral_A,someone is typing,someone typed on a keyboard,SEMEVAL,SEMEVAL,TRAIN,A:typing,B:putting,B:away,B:keyboard,
3352,Someone is writing,Someone is typing on a keyboard,NEUTRAL,3,A_neutral_B,B_neutral_A,someone typed on a keyboard,someone is typing,SEMEVAL,SEMEVAL,TEST,A:writing,B:typing,B:on,B:keyboard,
3360,A woman is peeling a potato,A woman is putting away a potato,NEUTRAL,4,A_neutral_B,B_neutral_A,a woman is peeling a potato,a woman peels a potato,SEMEVAL,SEMEVAL,TEST,A:peeling,B:putting,B:away,
3407,A person is unfolding a tortilla,A man is folding a tortilla,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a man folds a tortilla,a person folds a tortilla,SEMEVAL,SEMEVAL,TRAIN,A:person,A:unfolding,B:man,B:folding,
3417,A woman is freeing a fish,A man is catching a fish,NEUTRAL,2.5,A_neutral_B,B_neutral_A,a man catches a fish,a woman is deboning a fish,SEMEVAL,SEMEVAL,TEST,A:woman,A:freeing,B:man,B:catching,
3418,The man is catching a fish,A woman is deboning a fish,NEUTRAL,2.1,A_neutral_B,B_neutral_A,a woman is deboning a fish,a man catches a fish,SEMEVAL,SEMEVAL,TRAIN,A:man,A:catching,B:woman,B:deboning,
3419,A man is freeing a fish,A woman is deboning a fish,NEUTRAL,2.4,A_neutral_B,B_neutral_A,a woman is deboning a fish,a man catches a fish,SEMEVAL,SEMEVAL,TEST,A:man,A:freeing,B:woman,B:deboning,
3421,A man is catching a fish,A woman is deboning a fish,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a man catches a fish,a woman is deboning a fish,SEMEVAL,SEMEVAL,TEST,A:man,A:catching,B:woman,B:deboning,
3428,A man is packing a violin,A man is playing a harp,NEUTRAL,2.8,A_neutral_B,B_neutral_A,a man is playing a harp,a man is playing a violin,SEMEVAL,SEMEVAL,TRAIN,A:packing,A:violin,B:playing,B:harp,
3430,There is no man playing a harp,A man is playing a violin,NEUTRAL,3.2,A_neutral_B,B_neutral_A,a man is playing a violin,a man is playing a harp,SEMEVAL,SEMEVAL,TEST,A:There,A:no,A:harp,B:violin,
3438,A person is removing the butter from a tray,A person is buttering a tray,NEUTRAL,3.9,A_neutral_B,B_neutral_A,a person is buttering a tray,a person wipes butter on a tray,SEMEVAL,SEMEVAL,TRAIN,A:removing,A:butter,A:from,B:buttering,
3443,A woman is receiving volleyballs,A woman is serving volleyballs over a net,NEUTRAL,4.1,A_neutral_B,B_neutral_A,a woman serving volleyballs over a net,a woman serving volleyballs over a net,SEMEVAL,SEMEVAL,TRAIN,A:receiving,B:serving,B:over,B:net,
3455,A man is chopping a log with an axe,The man is chopping the trunk of a tree with an axe,NEUTRAL,4,A_neutral_B,B_neutral_A,a man is chopping a log with an axe,a man is chopping a tree trunk with an axe,SEMEVAL,SEMEVAL,TEST,A:log,B:trunk,B:of,B:tree,
3457,The man is chopping a tree trunk with an axe,One man is chopping a log with an axe,NEUTRAL,3.7,A_neutral_B,B_neutral_A,a man is chopping a tree trunk with an axe,a man is chopping a log with an axe,SEMEVAL,SEMEVAL,TEST,A:tree,A:trunk,B:One,B:log,
3459,The man is chopping a tree trunk with an axe,A man is chopping a log with an axe,NEUTRAL,4.4,A_neutral_B,B_neutral_A,a man is chopping a log with an axe,a man is chopping a tree trunk with an axe,SEMEVAL,SEMEVAL,TRIAL,A:tree,A:trunk,B:log,
3470,A person is sitting,A man is dancing,NEUTRAL,1.5,A_neutral_B,B_neutral_A,a man is dancing,a man is dancing,SEMEVAL,SEMEVAL,TEST,A:person,A:sitting,B:man,B:dancing,
3475,A man is dancing,There is no man thinking,NEUTRAL,2.4,A_neutral_B,B_neutral_A,a man is dancing,a man is thinking,SEMEVAL,SEMEVAL,TEST,A:dancing,B:There,B:no,B:thinking,
3476,A man is dancing,A woman is thinking of a man,NEUTRAL,1.5,A_neutral_B,B_neutral_A,a man is thinking,a man is thinking,SEMEVAL,SEMEVAL,TEST,A:dancing,B:woman,B:thinking,B:of,
3477,A person is dancing,A man is thinking,NEUTRAL,1.1,A_neutral_B,B_neutral_A,a man is thinking,a man is dancing,SEMEVAL,SEMEVAL,TEST,A:person,A:dancing,B:man,B:thinking,
3478,A man is thinking,A person is sitting,NEUTRAL,2.1,A_neutral_B,B_neutral_A,a man is thinking,a man is dancing,SEMEVAL,SEMEVAL,TEST,A:man,A:thinking,B:person,B:sitting,
3485,The cat is looking out the window at the table on the perch,The cat perched on the table is looking out the window,NEUTRAL,4.1,A_neutral_B,B_neutral_A,a cat perched on a table looks out the window,a cat perched on a table looks out the window,SEMEVAL,SEMEVAL,TRIAL,A:at,A:perch,B:perched,
3499,A dog is walking away from a baby,A dog is licking a baby,NEUTRAL,2.6,A_neutral_B,B_neutral_A,a dog is licking a baby,a dog licks a baby,SEMEVAL,SEMEVAL,TEST,A:walking,A:away,A:from,B:licking,
3505,A woman is putting away the garlic,A woman is chopping up garlic,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a woman is chopping up garlic,a woman is chopping up garlic,SEMEVAL,SEMEVAL,TRIAL,A:putting,A:away,B:chopping,B:up,
3511,A woman is putting away the garlic,The woman is dicing garlic,NEUTRAL,3.6,A_neutral_B,B_neutral_A,the woman is dicing garlic,a woman is chopping up garlic,SEMEVAL,SEMEVAL,TRAIN,A:putting,A:away,B:dicing,
3517,The man is wildly dancing,A woman is dancing,NEUTRAL,3,A_neutral_B,B_neutral_A,a woman is dancing,the man is dancing,SEMEVAL,SEMEVAL,TRAIN,A:man,A:wildly,B:woman,
3518,The man is not dancing,A woman is dancing,NEUTRAL,3.3,A_neutral_B,B_neutral_A,a woman is dancing,the man is dancing,SEMEVAL,SEMEVAL,TRIAL,A:man,A:not,B:woman,
3520,There is no woman dancing,The man is dancing,NEUTRAL,3.1,A_neutral_B,B_neutral_A,the man is dancing,a woman is dancing,SEMEVAL,SEMEVAL,TEST,A:There,A:no,A:woman,B:man,
3526,The person is writing with a pencil,The writing is about a person penciling,NEUTRAL,3.2,A_neutral_B,B_neutral_A,a person is writing with a pencil,a person is writing with a pencil,SEMEVAL,SEMEVAL,TEST,A:with,A:pencil,B:about,B:penciling,
3535,Someone is boiling okra in a pot,Someone is being boiled with okra in a pot,NEUTRAL,2.7,A_neutral_B,B_neutral_A,someone is boiling okra in a pot,someone is boiling okra in a pot,SEMEVAL,SEMEVAL,TEST,A:boiling,B:being,B:boiled,B:with,
3543,Someone is boiling okra in a pot,Someone is cooking okra in a pan,NEUTRAL,4,A_neutral_B,B_neutral_A,someone is boiling okra in a pot,someone is cooking okra in a pan,SEMEVAL,SEMEVAL,TRAIN,A:boiling,A:pot,B:cooking,B:pan,
3549,There is no man speaking,A man is dancing,NEUTRAL,2.1,A_neutral_B,B_neutral_A,a man is dancing,a man is speaking,SEMEVAL,SEMEVAL,TRAIN,A:There,A:no,A:speaking,B:dancing,
3551,A man is standing still,A man is speaking,NEUTRAL,2.4,A_neutral_B,B_neutral_A,a man is speaking,a man is dancing,SEMEVAL,SEMEVAL,TEST,A:standing,A:still,B:speaking,
3594,A man is lazing,A man is doing exercises,NEUTRAL,2.8,A_neutral_B,B_neutral_A,a man is exercising,a man is exercising,SEMEVAL,SEMEVAL,TEST,A:lazing,B:doing,B:exercises,
3597,The man is doing floor exercises,A man doing exercises is being floored,NEUTRAL,2.8,A_neutral_B,B_neutral_A,a man does floor exercises,a man does floor exercises,SEMEVAL,SEMEVAL,TEST,A:floor,B:being,B:floored,
3608,A monkey is riding a bike,A bike is being ridden over a monkey,NEUTRAL,3.1,A_neutral_B,B_neutral_A,a monkey is riding a bike,a monkey is riding a bike,SEMEVAL,SEMEVAL,TEST,A:riding,B:being,B:ridden,B:over,
3614,A monkey is riding a bike,A man is riding a bicycle,NEUTRAL,2.6,A_neutral_B,B_neutral_A,a man is riding a bicycle,a monkey is riding a bike,SEMEVAL,SEMEVAL,TRAIN,A:monkey,A:bike,B:man,B:bicycle,
3643,A man is holding a frog,The woman is handling a frog,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a man is holding a frog,a woman is handling a frog,SEMEVAL,SEMEVAL,TRAIN,A:man,A:holding,B:woman,B:handling,
3649,The boys are standing in front of the burning car,The boys are standing and burning a car,NEUTRAL,3.7,A_neutral_B,B_neutral_A,four boys are standing in front of the burning car,four boys are standing in front of the burning car,SEMEVAL,SEMEVAL,TRAIN,A:in,A:front,A:of,B:and,
3715,A toy train is striking a toy car,A car and a train are striking a toy,NEUTRAL,3.2,A_neutral_B,B_neutral_A,a toy train is striking a toy car,a toy train strikes a toy car,SEMEVAL,SEMEVAL,TEST,A:is,B:and,B:are,
3727,The person is slicing onions,A person is peeling an onion,NEUTRAL,4,A_neutral_B,B_neutral_A,a person is peeling an onion,a person is slicing onions,SEMEVAL,SEMEVAL,TRAIN,A:slicing,A:onions,B:peeling,B:onion,
3729,Several swimmers are jumping into the water,Several swimmers are jumping out of the water,NEUTRAL,4.1,A_neutral_B,B_neutral_A,several swimmers jump into the water,several swimmers jump into the water,SEMEVAL,SEMEVAL,TEST,A:into,B:out,B:of,
3746,There is no woman playing a guitar,A man is playing a guitar,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a man plays a guitar,a woman is playing a guitar,SEMEVAL,SEMEVAL,TRAIN,A:There,A:no,A:woman,B:man,
3747,A talented man is playing the guitar,A woman is playing a guitar,NEUTRAL,3.2,A_neutral_B,B_neutral_A,a woman is playing a guitar,a man plays a guitar,SEMEVAL,SEMEVAL,TRIAL,A:talented,A:man,B:woman,
3755,A boy is looking at a calendar,A boy is shredding a calendar,NEUTRAL,3.2,A_neutral_B,B_neutral_A,a boy is looking at a calendar,a boy studies a calendar,SEMEVAL,SEMEVAL,TRAIN,A:looking,A:at,B:shredding,
3781,A woman is walking off a stage,A woman is dancing on a stage,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a woman is dancing on a stage,a woman is dancing on a stage,SEMEVAL,SEMEVAL,TRAIN,A:walking,A:off,B:dancing,B:on,
3805,A man is throwing away a guitar,A man is playing a guitar,NEUTRAL,3,A_neutral_B,B_neutral_A,a man is playing a guitar,a man is playing a guitar,SEMEVAL,SEMEVAL,TRAIN,A:throwing,A:away,B:playing,
3808,A man in a cap is playing a harp,A man is playing a guitar,NEUTRAL,2.25,A_neutral_B,B_neutral_A,a man is playing a guitar,a man in a hat is playing a harp,SEMEVAL,SEMEVAL,TEST,A:in,A:cap,A:harp,B:guitar,
3811,A man is playing a guitar,A man in a hat is playing a harp,NEUTRAL,2.7,A_neutral_B,B_neutral_A,a man is playing a guitar,a man in a hat is playing a harp,SEMEVAL,SEMEVAL,TEST,A:guitar,B:in,B:hat,B:harp,
3814,A woman is peppering green slices,A woman is slicing a green pepper,NEUTRAL,3,A_neutral_B,B_neutral_A,a women slicing green pepper,a women slicing green pepper,SEMEVAL,SEMEVAL,TRAIN,A:peppering,A:slices,B:slicing,B:pepper,
3824,A woman is getting rid of a flute,A woman is playing flute,NEUTRAL,4,A_neutral_B,B_neutral_A,a woman is playing flute,a woman is playing flute,SEMEVAL,SEMEVAL,TEST,A:getting,A:rid,A:of,B:playing,
3826,The woman is putting away a flute,A woman is playing a flute,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a woman plays on a flute,a woman plays on a flute,SEMEVAL,SEMEVAL,TRAIN,A:putting,A:away,B:playing,
3838,The man is not riding a horse by a creek,A man is riding a horse,NEUTRAL,3.8,A_neutral_B,B_neutral_A,a man is riding a horse,a man is riding a horse by a creek,SEMEVAL,SEMEVAL,TRAIN,A:not,A:by,A:creek,
3844,A cat is playing a piano,A cat is sitting on a piano,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a cat is playing a piano,a cat is playing a piano,SEMEVAL,SEMEVAL,TRAIN,A:playing,B:sitting,B:on,
3858,A man from the wilderness is on a walking path,The man is walking along a path through the wilderness,NEUTRAL,4.1,A_neutral_B,B_neutral_A,a man is walking along a path through wilderness,a man is walking along a path through wilderness,SEMEVAL,SEMEVAL,TEST,A:from,A:on,B:along,B:through,
3868,The man is dipping into a swamp,A man is rising from a swamp,NEUTRAL,3.8,A_neutral_B,B_neutral_A,a man rises from a swamp,a man rises from a swamp,SEMEVAL,SEMEVAL,TRAIN,A:dipping,A:into,B:rising,B:from,
3882,A man is dangerously dancing on the ceiling of a room,A man is dancing upside-down on the ceiling,NEUTRAL,4,A_neutral_B,B_neutral_A,a man is dancing upside-down on the ceiling,a man is dancing on the ceiling of a room,SEMEVAL,SEMEVAL,TRAIN,A:dangerously,A:of,A:room,B:upside-down,
3889,A man is dancing,A man is singing passionately,NEUTRAL,2.4,A_neutral_B,B_neutral_A,a man is dancing,a man is singing,SEMEVAL,SEMEVAL,TEST,A:dancing,B:singing,B:passionately,
3892,There is no man dancing,A man is singing,NEUTRAL,2.9,A_neutral_B,B_neutral_A,a man is singing,a man is dancing,SEMEVAL,SEMEVAL,TRAIN,A:There,A:no,A:dancing,B:singing,
3899,There is no man exercising,A girl is exercising,NEUTRAL,2.2,A_neutral_B,B_neutral_A,a girl is exercising,a man is exercising,SEMEVAL,SEMEVAL,TRAIN,A:There,A:no,A:man,B:girl,
3901,The girl is lounging,A man is exercising,NEUTRAL,1.2,A_neutral_B,B_neutral_A,a man is exercising,a girl is exercising,SEMEVAL,SEMEVAL,TRAIN,A:girl,A:lounging,B:man,B:exercising,
3910,A man is packing the guitar,The man is singing and playing the guitar,NEUTRAL,3.4,A_neutral_B,B_neutral_A,the man sang and played his guitar,a man plays the guitar,SEMEVAL,SEMEVAL,TRIAL,A:packing,B:singing,B:and,B:playing,
3921,Boys are dancing in front of some people,Young men are dancing in front of some people,NEUTRAL,4.4,A_neutral_B,B_neutral_A,boys are dancing in front of people,boys are dancing in front of people,SEMEVAL,SEMEVAL,TRAIN,A:Boys,B:Young,B:men,
3923,Some boys are in front of dancing people,Boys are dancing in front of some people,NEUTRAL,3.7,A_neutral_B,B_neutral_A,boys are dancing in front of people,boys are dancing in front of people,SEMEVAL,SEMEVAL,TEST,A:Some,A:boys,B:Boys,B:some,
3937,A boy is throwing away a calendar,A boy is looking at a calendar,NEUTRAL,2.4,A_neutral_B,B_neutral_A,a boy is looking at a calendar,a boy is looking at a calendar,SEMEVAL,SEMEVAL,TEST,A:throwing,A:away,B:looking,B:at,
3975,A girl is falling asleep,A girl is waking up,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a girl is waking up,a girl is waking up,SEMEVAL,SEMEVAL,TEST,A:falling,A:asleep,B:waking,B:up,
3978,A child is slowly waking up,A girl is waking up,NEUTRAL,4.27,A_neutral_B,B_neutral_A,a girl is waking up,a child is waking up,SEMEVAL,SEMEVAL,TEST,A:child,A:slowly,B:girl,
3987,A woman is slicing a tomato,The woman is peeling a potato,NEUTRAL,3.3,A_neutral_B,B_neutral_A,a woman is slicing a tomato,a woman is peeling a potato,SEMEVAL,SEMEVAL,TRAIN,A:slicing,A:tomato,B:peeling,B:potato,
3988,A woman is slicing a tomato,A woman is refrigerating a potato,NEUTRAL,2.5,A_neutral_B,B_neutral_A,a woman is slicing a tomato,a woman is peeling a potato,SEMEVAL,SEMEVAL,TEST,A:slicing,A:tomato,B:refrigerating,B:potato,
4002,A man is climbing a rope,A man is coming down a rope,NEUTRAL,4.3,A_neutral_B,B_neutral_A,a man is climbing a rope,a man is climbing a rope,SEMEVAL,SEMEVAL,TRAIN,A:climbing,B:coming,B:down,
4003,A man is being roped before climbing,A man is climbing a rope,NEUTRAL,3.1,A_neutral_B,B_neutral_A,a man is climbing a rope,a man is climbing a rope,SEMEVAL,SEMEVAL,TEST,A:being,A:roped,A:before,B:rope,
4023,The woman is picking up the kangaroo,A kangaroo is picking up the woman's baby,NEUTRAL,2.3,A_neutral_B,B_neutral_A,the woman picked up the kangaroo,a woman picks up a baby kangaroo,SEMEVAL,SEMEVAL,TEST,A:woman,B:woman's,B:baby,
4059,A dog is running on the road,There is no man running on the road,NEUTRAL,2.3,A_neutral_B,B_neutral_A,a panda dog is running on the road,a man is running on the road,SEMEVAL,SEMEVAL,TEST,A:dog,B:There,B:no,B:man,
4060,A man is running on the road,A dog is running breathlessly on the road,NEUTRAL,2.6,A_neutral_B,B_neutral_A,a man is running on the road,a panda dog is running on the road,SEMEVAL,SEMEVAL,TRIAL,A:man,B:dog,B:breathlessly,
4061,There is no dog running on the road,A man is running on the road,NEUTRAL,2.3,A_neutral_B,B_neutral_A,a man is running on the road,a panda dog is running on the road,SEMEVAL,SEMEVAL,TRAIN,A:There,A:no,A:dog,B:man,
4093,Someone is drawing a person,A man is drawing a picture,NEUTRAL,4.6,A_neutral_B,B_neutral_A,a person is drawing,a man is drawing a picture,SEMEVAL,SEMEVAL,TEST,A:Someone,A:person,B:man,B:picture,
4102,Somebody is playing the guitar,Someone is playing a piano,NEUTRAL,2.8,A_neutral_B,B_neutral_A,someone is playing a piano,someone is playing guitar,SEMEVAL,SEMEVAL,TRAIN,A:Somebody,A:guitar,B:Someone,B:piano,
4104,Someone is beautifully playing the piano,Someone is playing the guitar,NEUTRAL,3,A_neutral_B,B_neutral_A,someone is playing a piano,someone is playing guitar,SEMEVAL,SEMEVAL,TEST,A:beautifully,A:piano,B:guitar,
4105,Someone is playing the guitar,Someone is dismantling a piano,NEUTRAL,2.2,A_neutral_B,B_neutral_A,someone is playing guitar,someone is playing a piano,SEMEVAL,SEMEVAL,TRAIN,A:playing,A:guitar,B:dismantling,B:piano,
4129,A dog is jumping on a diving board,A dog is jumping on a trampoline,NEUTRAL,2.4,A_neutral_B,B_neutral_A,a dog is jumping on a trampoline,a dog is jumping on a trampoline,SEMEVAL,SEMEVAL,TEST,A:diving,A:board,B:trampoline,
4151,A woman is cutting meat,A woman is slicing an onion,NEUTRAL,2.8,A_neutral_B,B_neutral_A,a woman is cutting meat,a woman is cutting an onion,SEMEVAL,SEMEVAL,TEST,A:cutting,A:meat,B:slicing,B:onion,
4162,A man is playing a wooden flute,A man is playing the piano,NEUTRAL,3,A_neutral_B,B_neutral_A,a man is playing a wooden flute,a man is playing the piano,SEMEVAL,SEMEVAL,TRAIN,A:wooden,A:flute,B:piano,
4196,A man is dancing,A man is praying fervently,NEUTRAL,1.7,A_neutral_B,B_neutral_A,a man is dancing,a man is praying,SEMEVAL,SEMEVAL,TRIAL,A:dancing,B:praying,B:fervently,
4197,A man is dancing,There is no man praying,NEUTRAL,1.3,A_neutral_B,B_neutral_A,a man is dancing,a man is praying,SEMEVAL,SEMEVAL,TRAIN,A:dancing,B:There,B:no,B:praying,
4198,A man is performing a dance,A man is praying,NEUTRAL,2.1,A_neutral_B,B_neutral_A,a man is praying,a man is dancing,SEMEVAL,SEMEVAL,TEST,A:performing,A:dance,B:praying,
4199,A man is praying,There is no man dancing,NEUTRAL,1.6,A_neutral_B,B_neutral_A,a man is praying,a man is dancing,SEMEVAL,SEMEVAL,TRAIN,A:praying,B:There,B:no,B:dancing,
4236,Two men are talking,Two men are playing guitar,NEUTRAL,2.3,A_neutral_B,B_neutral_A,two men are playing guitar,two men are talking,SEMEVAL,SEMEVAL,TRAIN,A:talking,B:playing,B:guitar,
4245,A man is playing a flute,A man is playing an electronic keyboard,NEUTRAL,2.7,A_neutral_B,B_neutral_A,a man is playing a flute,a man is playing an electronic keyboard,SEMEVAL,SEMEVAL,TEST,A:flute,B:electronic,B:keyboard,
4253,People are singing and a clown is dancing,A clown is singing,NEUTRAL,2.3,A_neutral_B,B_neutral_A,a clown is singing,a clown is singing and people are dancing,SEMEVAL,SEMEVAL,TRAIN,A:People,A:are,A:and,A:dancing,
4294,A plane is landing,A plane is taking off,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a plane is taking off,a plane is taking off,SEMEVAL,SEMEVAL,TEST,A:landing,B:taking,B:off,
4319,A woman is cutting a tomato,A man is cutting a potato,NEUTRAL,2.7,A_neutral_B,B_neutral_A,a man is cutting a potato,a woman is cutting a tomato,SEMEVAL,SEMEVAL,TEST,A:woman,A:tomato,B:man,B:potato,
4337,A woman is picking a can,A woman is cutting a tomato,NEUTRAL,1.8,A_neutral_B,B_neutral_A,a woman is picking a can,a woman is slicing a tomato,SEMEVAL,SEMEVAL,TEST,A:picking,A:can,B:cutting,B:tomato,
4339,A woman is slicing a tomato,A woman is taking a can,NEUTRAL,2,A_neutral_B,B_neutral_A,a woman is slicing a tomato,a woman is picking a can,SEMEVAL,SEMEVAL,TRAIN,A:slicing,A:tomato,B:taking,B:can,
4341,A woman is picking a can,A woman is slicing a tomato,NEUTRAL,1.7,A_neutral_B,B_neutral_A,a woman is picking a can,a woman is slicing a tomato,SEMEVAL,SEMEVAL,TRAIN,A:picking,A:can,B:slicing,B:tomato,
4350,A man is eating a banana,Someone is peeling a banana,NEUTRAL,3.7,A_neutral_B,B_neutral_A,a man is eating a banana,someone is peeling a banana,SEMEVAL,SEMEVAL,TRAIN,A:man,A:eating,B:Someone,B:peeling,
4355,A plane is flying,A dog is barking,NEUTRAL,1,A_neutral_B,B_neutral_A,a dog is barking,a jet is flying,SEMEVAL,SEMEVAL,TEST,A:plane,A:flying,B:dog,B:barking,
4359,A jet is flying,A dog is barking,NEUTRAL,1,A_neutral_B,B_neutral_A,a dog is barking,a jet is flying,SEMEVAL,SEMEVAL,TRAIN,A:jet,A:flying,B:dog,B:barking,
4362,A man is cutting a paper,A man is cutting himself with a piece of paper,NEUTRAL,2.8,A_neutral_B,B_neutral_A,a man is cutting a paper,a man is cutting a paper,SEMEVAL,SEMEVAL,TEST,B:himself,B:with,B:piece,B:of,
4370,A person is tearing paper,A man is cutting a paper,NEUTRAL,3.9,A_neutral_B,B_neutral_A,a man is cutting a paper,a person is tearing paper,SEMEVAL,SEMEVAL,TRAIN,A:person,A:tearing,B:man,B:cutting,
4379,A man is playing a guitar,Someone is playing a piano,NEUTRAL,2.915,A_neutral_B,B_neutral_A,a man is playing a guitar,someone is playing a piano,SEMEVAL,SEMEVAL,TRAIN,A:man,A:guitar,B:Someone,B:piano,
4392,A man is riding a horse on the beach,A man is riding a horse in the desert,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a man is riding a horse in the desert,a man is riding a horse in the desert,SEMEVAL,SEMEVAL,TRAIN,A:on,A:beach,B:in,B:desert,
4429,The men are talking,Some old women are talking,NEUTRAL,3,A_neutral_B,B_neutral_A,the men are talking,women are talking,SEMEVAL,SEMEVAL,TRIAL,A:men,B:Some,B:old,B:women,
4430,Some women are not talking,The men are talking,NEUTRAL,2.5,A_neutral_B,B_neutral_A,the men are talking,women are talking,SEMEVAL,SEMEVAL,TEST,A:Some,A:women,A:not,B:men,
4432,The men are not talking,Some women are talking,NEUTRAL,3.4,A_neutral_B,B_neutral_A,women are talking,the men are talking,SEMEVAL,SEMEVAL,TRAIN,A:men,A:not,B:Some,B:women,
4433,The men are talking,Some women are talking,NEUTRAL,3,A_neutral_B,B_neutral_A,the men are talking,women are talking,SEMEVAL,SEMEVAL,TEST,A:men,B:Some,B:women,
4447,A man is phoning,A man is singing to a woman,NEUTRAL,1.7,A_neutral_B,B_neutral_A,a man is singing to a woman,a man is talking on a phone,SEMEVAL,SEMEVAL,TRAIN,A:phoning,B:singing,B:to,B:woman,
4491,A girl is styling her hair,A boy is styling his hair,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a girl is styling her hair,a girl is styling her hair,SEMEVAL,SEMEVAL,TEST,A:girl,A:her,B:boy,B:his,
