sentence,tokens
Two men are boxing,4
Two men are hugging,4
A man is putting vegetables into a pot,8
Vegetables are being put into a pot by a man,10
A man is removing vegetables from a pot,8
Someone is pouring ingredients into a pot,7
Someone is adding ingredients to a pot,7
Nobody is pouring ingredients into a pot,7
The man is standing on a rocky mountain and gray clouds are in the background,15
The man is standing on a mountain which is rocky and gray clouds are in the background,17
The man is not standing on a rocky mountain and gray clouds are not in the background,17
A person with a back pack who is topless is in front of a pile of rocks and clouds are in the background,23
A topless person with a back pack is in front of a pile of rocks and clouds are in the background,21
A fully dressed person is behind a pile of rocks and a clear sky is in the background,18
A black topless person is packing a pile of rocks and a front of clouds are in the background,19
The dog is catching a ball,6
A dog is catching a ball,6
There is no dog catching a ball,7
A dog is furiously chasing a ball through dirt,9
A dog is chasing a ball through dirt,8
A dog is leaving a ball in the dirt,9
A boy in a blue shirt has dirt on his face,11
A boy in a blue dyed shirt has dirt on his face,12
A topless boy has a clean face,7
A boy has a blue face and dirt on the shirt,11
A child who has blond hair is holding a yellow bottle,11
A blond child is holding a yellow bottle,8
There is no blond child holding a yellow bottle,9
A man in a hat is pacing through a store,10
A man in a hat is walking through a store,10
A man in a hat is walking past a store,10
A walker is in a hat store for men,9
The man in a hat suited for cowboys is walking through a market and is putting a hand in his pocket,21
The man in a cowboy hat is walking through a market and is putting a hand in his pocket,19
The man in a cowboy hat is not walking through a market and is not putting a hand in his pocket,21
A large white crane is flying near the water,9
A crane which is large and white is flying near the water,12
A large white crane is flying far above the water,10
A white bird is landing swiftly in the water,9
The white bird is landing swiftly in the water,9
A white bird is swiftly taking off from the water,10
The land near a white bird is being watered swiftly,10
A brown dog is calmly standing in the water,9
A brown dog is standing in the water,8
There is no brown dog standing in the water,9
A dog with golden fur is in the water,9
A dog with a golden coat is in the water,10
A dog with golden fur is out of the water,10
A girl in a blue shirt who looks young is walking on the sidewalk and holding up a pink sign,20
A young girl in a blue shirt is walking on the sidewalk and holding up a pink sign,18
There is no young girl in a blue shirt walking on the sidewalk and holding up a pink sign,19
A young girl by a pink sign is holding up a blue shirt and is walking on the sidewalk,19
The girl is carrying a sign and a group of people is following her,14
The girl is carrying a sign and is being followed by a group of people,15
The girl is not carrying a sign and no group of people is following her,15
One man in a big city is holding up a sign and begging for money,15
A man in a big city is holding a sign and begging for money,14
A man in a small city is doing charity work,10
A big city is begging for men and money holders,10
A homeless man is holding up a sign and is begging for money,13
A homeless man is holding up a sign and is pitifully begging for money,14
A homeless man is putting down a sign and refusing some charity,12
A small dog is chasing a large brown cow,9
A dog which is small is chasing a large brown cow,11
There is no small dog chasing a large brown cow,10
A dog is chasing the tail of an animal in the grass,12
The tail of an animal is being chasing by a dog in the grass,14
A dog is walking away from the tail of an animal in the grass,14
The small child is walking through the water and is being guided by another person,15
The small child is wading through the water and is being guided by another person,15
The small child is not wading through the water and is not being guided by another person,17
A young child is splashing in the water,8
The young child is splashing in the water,8
There is no young child splashing in the water,9
A young child is watering a plant with splashes,9
A woman is looking curiously at a man,8
A man is being curiously looked at by a woman,10
A woman is ignoring a man,6
A man and a woman are in a room painted beige wearing dark colored shirts and a monitor is in the background,22
A man and a woman are in a beige room wearing dark colored shirts and a monitor is in the background,21
A man and a woman are outside and are wearing light colored shirts,13
The little dog is grabbing the bedroom slipper with its mouth funnily,12
The little dog is grabbing the bedroom slipper with its mouth,11
The little dog is dropping the bedroom slipper from its mouth,11
A brown dog is looking closely at a brown and white dog,12
A brown dog is staring attentively at a brown and white dog,12
There is no brown dog staring attentively at a brown and white dog,13
The man is performing a large jump,7
A large jump is being performed by a man,9
The man is not performing a large jump,8
A person in a blue jacket is jumping off of a tall cement wall,14
A person in a blue colored jacket is jumping off of a tall cement wall,15
A person in a blue jacket is jumping onto a tall cement wall,13
A person is cementing a jacket in a blue tall wall and jumping,13
A woman in jeans is sitting on the saddle of a horse,12
The woman in jeans is sitting on the saddle of a horse,12
A woman in jeans is standing near a horse with a saddle,12
A person wearing jeans is sitting happily on the top of a horse saddle,14
A person wearing jeans is sitting on top of a horse saddle,12
There is no person wearing jeans sitting on top of a horse saddle,13
The brown dog and the red dog are frolicking on the beach,12
A brown dog and a red dog are frolicking on the beach,12
A brown dog and a red dog are sitting sadly on the beach,13
The brown dogs are playfully fighting on the sandy beach,10
The brown dogs are playfully fighting on the sandy shore,10
The brown dogs are not playfully fighting on the sandy beach,11
The man is standing steadily next to a birdcage,9
The man is standing next to a bird cage,9
The man is sitting next to a birdcage,8
A man is standing beside a birdcage which is large and colorful,12
A man is standing beside a large and colorful birdcage,10
There is no man standing beside a large and colorful birdcage,11
One brown and black dog is running through the leaves,10
A brown and black dog is running through the leaves,10
A brown and black dog is resting in the leaves,10
A dog and a black man are running through brown leaves,11
A dog in a colored coat is running swiftly across the yard,12
A dog in a colored coat is running across the yard,11
There is no dog in a colored coat running across the yard,12
A dog in the yard is running across colored coats,10
A brown and white dog is holding a baseball in its mouth,12
A dog which has a brown and white coat is holding a baseball in its mouth,16
A brown and white dog is putting the baseball in its mouth down,13
A black and white dog is holding a baseball in its mouth,12
A baseball is being held in its mouth by a black and white dog,14
A black and white dog is dropping a baseball from its mouth,12
A boy wearing red shorts is jumping into a paddling pool,11
A kid wearing red shorts is jumping into a paddling pool,11
There is no boy wearing red shorts jumping into a paddling pool,12
A boy who looks young and is wearing a red swimsuit is jumping into a blue kiddies pool,18
A young boy wearing a red swimsuit is jumping into a blue kiddies pool,14
A young boy wearing a red swimsuit is jumping out of a blue kiddies pool,15
A group of dogs are racing furiously and have muzzles on the noses,13
A group of dogs are racing and have muzzles on their noses,12
A group of dogs are resting without muzzles,8
A group of racing dogs are nosing a muzzle,9
A group of racing dogs is wearing striped uniforms and is running down a track,15
A group of dogs bred for racing is wearing striped uniforms and is running down a track,17
There is no group of racing dogs wearing striped uniforms and running down a track,15
Two people are wading through the water,7
A couple or people are wading through the water,9
Two people are walking near the water,7
Two people are standing in the ocean and watching the sunset,11
Two people are standing in the ocean and looking at the sunset,12
Nobody is standing in the ocean and watching the sunset,10
A race car driver is standing up and is fiercely pointing his hand at the sky,16
A race car driver is standing up and pointing his hand at the sky,14
A race car driver is sitting down and is motionless,10
The person in the blue jacket is wearing a colorful helmet,11
A person in a blue jacket is wearing a colorful helmet,11
The person in the blue jacket is putting down a colorful helmet,12
A boy and a girl in swimsuits are wearing arm floats,11
A boy and a girl in swimsuits are wearing floats for their arms,13
A boy and a girl are naked,7
The boy and the girl are cheerfully playing and wearing arm floats,12
The boy and the girl are playing and wearing arm floats,11
The boy and the girl are not playing and wearing arm floats,12
A woman in a yellow dyed shirt is surfing on a pink surfboard,13
A woman in a yellow shirt is surfing on a pink surfboard,12
There is no woman in a yellow shirt surfing on a pink surfboard,13
A woman in a pink shirt is surfing through yellow surfboards,11
The wave is being ridden by a surfer,8
A surfer is riding the wave,6
A surfer is falling off the wave,7
A rider is waving at a surfer,7
Four people are sitting on a low cement ledge,9
Some people are sitting on a low cement ledge,9
Four people are standing on a low cement ledge,9
The group of people is sitting on a ledge which is rocky and a scenic view is behind them,19
The group of people is sitting on a rocky ledge and a scenic view is behind them,17
The group of people is not sitting on a rocky ledge with a scenic view behind them,17
Two girls are laughing breathlessly and other girls are watching them,11
Two girls are laughing and other girls are watching them,10
There is no girl laughing and there is no other girl watching,12
A group of Asian girls are standing together,8
The group of Asian girls are standing together,8
A group of Asian girls are standing by themselves,9
A bicyclist is holding a bike over his head in a group of people,14
A bike is being held over his head by a bicyclist in a group of people,16
A lone bicyclist is putting down a bike,8
A cyclist is being held over the heads of a group of people with the bike,16
A cold cyclist is celebrating,5
Something is being celebrated by a cold cyclist,8
There is no cold cyclist celebrating,6
A man is sitting peacefully on a boat in front of the sunset near a flag,16
A man is sitting on a boat in font of the sunset near a flag,15
A man is standing on a boat in front of the sunset near a flag,15
A man is on a ship in front of the sunset,11
A man is on a boat in front of the sunset,11
There is no man on a boat in front of the sunset,12
Some people at a drag race are looking at the flames that are coming out of the cars,18
People at a drag race are looking at the flames that are coming out of the cars,17
People at a drag race are running away from the flames that are coming out of the cars,18
The crowd is watching two cars designed for racing that are leaving the starting line,15
The crowd is watching two racing cars that are leaving the starting line,13
The crowd is not watching two racing cars that are leaving the starting line,14
Two dogs are cheerfully playing together on the grass,9
Two dogs are playing together on the grass,8
Two dogs are resting together in the grass,8
A big dog and a small white dog are playing together,11
A big dog and a small dog with a white coat are playing together,14
A big dog and a small white dog are walking past each other,13
A dog which is brown is jumping in the air,10
A brown dog is jumping in the air,8
A brown dog is sitting down,6
A malnourished looking dog is standing on its hind legs and preparing to jump,14
The malnourished looking dog is standing on its hind legs and is preparing to jump,15
A healthy looking dog is lying on the ground,9
The cop is sitting on a police bike,8
The cop is sitting on a police bicycle,8
The cop is not sitting on a police bike,9
A policeman is sitting tiredly on a motorcycle,8
A policeman is sitting on a motorcycle,7
A policeman is getting off of a motorcycle,8
A motorcyclist is sitting by a police man,8
Two women are wearing bikinis on the sandy beach,9
Two women are wearing bikinis on the beach which is sandy,11
There are no women wearing bikinis on the sandy beach,10
Two women are wearing bikinis and walking on the sand,10
Two women are wearing bikinis and are walking on the sand,11
Two women are naked and are standing on the sand,10
A dog is swimming in a lake and the sun is shining on him,14
The dog is swimming in a lake and the sun is shining on him,14
There is no dog swimming in a lake with sunshine shining on him,13
A dog with a golden coat is swimming clumsily through the water,12
A dog with a golden coat is swimming through the water,11
A dog with a golden coat is walking out of the water,12
A dog which has a black coat is running in the grass and its tongue is hanging out,18
A black dog is running in the grass and its tongue is hanging out,14
A black dog is sitting in the grass and keeping its mouth closed,13
A black dog is hanging out in the grass and running with its tongue out,15
A dog which is black is running in the grass,10
A black dog is running in the grass,8
A black dog is lying in the grass,8
The cheerleaders are parading and wearing uniforms which are black pink and white,13
The cheerleaders are parading and wearing black pink and white uniforms,11
The cheerleaders are not parading and are not wearing black pink and white uniforms,14
A large group of cheerleaders is walking in a parade,10
Many cheerleaders are walking in a parade,7
There is no large group of cheerleaders walking in a parade,11
The man is sitting outside under a purple umbrella,9
The man is sitting outdoors under a purple umbrella,9
The man is sitting indoors,5
A shoeless woman is sitting on a blanket under a lavender umbrella,12
A woman who is shoeless is sitting on a blanket under a lavender umbrella,14
A shoeless woman is standing over a blanket near a lavender umbrella,12
The woman is playing with two young boys at a park,11
A woman is playing with two young boys at a park,11
There is no woman playing with two young boys at a park,12
A lady is standing near three children,7
A woman is standing near three children,7
There is no woman standing near three children,8
A yellow dog is running on white snow on a very sunny day,13
A yellow dog is running on white snow on a sunny day,12
A yellow dog is stopping on white snow on a sunny day,12
A tan dog is running through the snow,8
A dog which is tan is running through the snow,10
A tan dog is resting in the snow,8
A girl is wearing jeans and a pink shirt and is cheerfully running,13
A girl is wearing jeans and a pink shirt and is running,12
There is no girl wearing jeans and a pink shirt and running,12
A girl is running with a pink shirt and is not wearing jeans,13
The little girl in a pink shirt is running under a tree in the desert,15
A little girl in a pink shirt is running under a tree in the desert,15
A little boy in a pink shirt is running under a tree in the desert,15
The white dog wearing reindeer ears is close to a brown dog,12
The white dog wearing reindeer ears is near a brown dog,11
The white dog is not wearing reindeer ears and isn't near a brown dog,14
The white reindeer wearing dog ears is near a brown reindeer,11
A white dog is wearing a Christmas reindeer headband and is playing with a brown dog in the grass,19
A white dog is wearing a Christmas reindeer headband and is playing with a dog with a brown coat in the grass,22
There is no white dog wearing a Christmas reindeer headband and playing with a brown dog in the grass,19
A child who is young is riding a bike on a rough dirt path,14
A young child is riding a bike on a rough dirt path,12
A young child is walking with a bike on a rough dirt path,13
The young boy is riding a dirt bike through the mud,11
A young boy is riding a dirt bike through the mud,11
There is no young boy riding a dirt bike through the mud,12
A woman in a red dress is playing an instrument,10
An instrument is being played by a woman in a red dress,12
A woman in a red dress is putting away an instrument,11
The woman in a red costume is leaning against a wall made of bricks and playing an instrument,18
The woman in a red costume is leaning against a brick wall and playing an instrument,16
The woman in a red costume is not leaning against a brick wall and is not playing an instrument,19
The child is delightedly playing with toys outdoors,8
The child is playing with toys outdoors,7
The child is playing with toys indoors,7
A young child is wearing a white coat and playing a game,12
A child who is young is wearing a white coat and playing a game,14
There is no young child wearing a white coat and playing a game,13
A young gamer is playing with a child wearing a white coat,12
The man is wearing a wetsuit and is riding a surfboard,11
The person is wearing a wetsuit and is riding a surfboard,11
The man is lying naked near a surfboard,8
A surfer is leaning on a surfboard,7
The surfer is leaning on a surfboard,7
There is no surfer leaning on a surfboard,8
A surfer is leaning the surfboard against a wall,9
A waterfall is flowing calmly into a shallow pool,9
A waterfall is flowing into a shallow pool,8
A waterfall is flowing out of a shallow pool,9
The people are walking on the road beside a beautiful waterfall,11
The people are walking on the road beside a waterfall which is beautiful,13
The people are not walking on the road beside a beautiful waterfall,12
A dog is herding a group of white sheep on a dusty farm,13
A dog is herding a pack of white sheep on a dusty farm,13
A dog is scattering a pack of white sheep on a dusty farm,13
A sheepdog is grouping a herd of sheep,8
The sheepdog is grouping a herd of sheep,8
A sheepdog is dispersing a herd of sheep,8
The male who is dark skinned is standing on one hand in front of a yellow building,17
The dark skinned male is standing on one hand in front of a yellow building,15
The dark skinned male is not standing on one hand in front of a yellow building,16
A yellow palm is in front of a building and one dark skinned male is standing next to it,19
A black man is skillfully break dancing on the pavement,10
A black man is break dancing on the pavement,9
A black man is walking on the pavement,8
A bike is being ridden by a person,8
A person is riding a bike,6
There is no person riding a bike,7
A person who rides bikes in a black and red uniform is standing on a dirt bike,17
A bike rider in a black and red uniform is standing on a dirt bike,15
A bike rider in a black and red uniform is jumping down off a dirt bike,16
A black bike rider in a red bike uniform is standing in the dirt,14
A man in a purple suit is standing by a purple case and is playing a guitar,17
A man in a purple colored suit is standing by a purple case and is playing a guitar,18
There is no man in a purple suit standing by a purple case and playing a guitar,17
The guitar is being played by the man who has the guitar case open for donations,16
The man is playing the guitar and has the guitar case open for donations,14
The man is putting away the guitar in the guitar case,11
The man is opening the guitar for donations and plays with the case,13
Two adults are sitting in the chairs and are watching the ocean,12
Some adults are sitting in the chairs and are watching the ocean,12
Nobody is sitting in the chairs and watching the ocean,10
A couple is sitting on a patio and is staring at the ocean,13
A couple is sitting on a patio and looking at the ocean,12
A couple is standing on a patio and looking at the sky,12
A small boy in a shirt which is yellow is laughing on the beach,14
A small boy in a yellow shirt is laughing on the beach,12
There is no small boy in a yellow shirt laughing on the beach,13
The little boy is wearing a yellow tank top and is laughing,12
A little boy is wearing a yellow tank top and is laughing,12
A little boy is topless and is serious,8
A laughing boy is in a yellow tank and is wearing a top,13
The orange rescue boat is rushing across the water,9
The rescue boat which is orange is rushing across the water,11
The orange rescue boat is not rushing across the water,10
Two men are riding an orange raft on the beach,10
Two men are riding an orange raft on the shore,10
Two men are getting off of an orange raft on the shore,12
Two men are rafting near a rider in orange on the shore,12
A dog with really long hair and a red vest is running in the grass,15
A dog with long hair and a red vest is running in the grass,14
A dog with long hair and a red vest is sitting in the grass,14
The dog in the dyed red vest is running in the field,12
The dog in the red vest is running in the field,11
The dog in the red vest is not running in the field,12
A person is standing in a vast field of glacial ice,11
One person is standing in a vast field of glacial ice,11
There is no person standing in a vast field of glacial ice,12
The person is standing dangerously on white ice,8
The person is standing on white ice,7
The person is not standing on white ice,8
A blond boy is sliding down a dune of sand on a skateboard,13
A blond boy is sliding down a sand dune on a skateboard,12
A blond boy is walking up a sand dune with a skateboard,12
A woman is swiftly snowboarding down an incline and another woman is standing behind her,15
A woman is snowboarding down an incline and another woman is standing behind her,14
There is no woman snowboarding down an incline and there is no other woman standing behind her,17
The man is taking a picture of himself and another guy,11
A picture of himself and another guy is being taken by the man,13
The man is not taking a picture of himself and another guy,12
A man is holding up an electronic device,8
A person is holding up an electronic device,8
A man is putting down an electronic device,8
An electronic man is held as a device,8
A little black dog is chasing a little brown dog,10
A dog which is little and black is chasing a little brown dog,13
There is no little black dog chasing a little brown dog,11
The brown dog and the black dog are in the grass,11
A brown dog and a black dog are in the grass,11
A brown dog and a black dog are far from the grass,12
A girl in a brown dress is being surrounded by children and is closing her eyes,16
Children are surrounding a girl in a brown dress who is closing her eyes,14
There is no girl in a brown dress being surrounded by children and closing her eyes,16
A girl is surrounding brown dressed children who are closing the eyes,12
The sun is shining on the face of the girl who is in the dyed yellow dress,17
The sun is shining on the face of the girl who is in a yellow dress,16
The sun is not shining on the face of the girl who is in a yellow dress,17
Women are wearing bunny ears and race numbers and are curiously pointing at something in the distance,17
Women are wearing bunny ears and race numbers and are pointing at something in the distance,16
Women are not wearing bunny ears and race numbers and are not pointing at something in the distance,18
A group of women are wearing pink bunny ears and are pointing to the right,15
Several women are wearing pink bunny ears and are pointing to the right,13
Several women are taking off pink bunny ears and are pointing to the left,14
The women are wearing something right and pointing at several bunny ears,12
The goal is being guarded by a hockey player in a yellow jersey,13
A hockey player in a yellow jersey is guarding the goal,11
There is no hockey player in a yellow jersey guarding the goal,12
The ice hockey goalkeeper is wearing a yellow jersey and is defending the goal,14
The ice hockey goalkeeper is not wearing a yellow jersey and is not defending the goal,16
A child who looks young is standing in front of some trees,12
A young child is standing in front of some trees,10
There is no young child standing in front of some trees,11
The small boy is standing in the forest,8
A small boy is standing in the forest,8
A small boy is sitting in the forest,8
Two people are looking at a statue made of gold,10
Two people are looking at a gold statue,8
Two people are ignoring the nearby gold statue,8
Two young men are cheerfully playing outside near a golden statue,11
Two young men are playing outside near a golden statue,10
Two young men are sitting outside near a golden statue,10
The bicyclist is speeding on a city street,8
The bicyclist is riding on a city street,8
The bicyclist is not riding on a city street,9
The woman is wearing a blue helmet and is riding a bicycle in a parking lot,16
A woman is wearing a blue helmet and is riding a bicycle in a parking lot,16
There is no woman wearing a blue helmet and riding a bicycle in a parking lot,16
A woman is parking a blue bicycle and is wearing lots of riding helmets,14
A pet dog is standing on the bank and is looking at another dog which is brown in the pond,20
A pet dog is standing on the bank and is looking at another brown dog in the pond,18
There is no pet dog standing on the bank and looking at another brown dog in the pond,18
The tan dog is watching a brown dog that is swimming in a pond,14
The tan dog is not watching a brown dog that is swimming in a pond,15
A young female is dancing,5
A young girl is dancing,5
A young girl is standing still,6
A young girl is standing challengingly on one leg,9
A young girl is standing on one leg,8
A young girl is standing on both legs,8
A bee is clinging to a yellow flower,8
A yellow flower is being clung to by a bee,10
A bee is taking off from a yellow flower,9
The small bee is landing on a bunch of yellow flowers,11
A small bee is landing on a bunch of yellow flowers,11
There is no small bee landing on a bunch of yellow flowers,12
Some people are treading through the snow of the landscape which is beautiful and snowy,15
Some people are treading through the snow of the beautiful snowy landscape,12
Nobody is treading through the snow of the beautiful snowy landscape,11
Four people are difficultly walking with difficulty across thick snow and the sun is setting,15
Four people are walking across thick snow and the sun is setting,12
Four people are standing in thick snow and the sun is rising,12
The young boys are posing with a green soccer ball in a park,13
The young kids are posing with a green soccer ball in a park,13
The young boys are not posing with a green soccer ball in a park,14
Four boys are kneeling next to each other in front of a ball,13
Some boys are kneeling next to each other in front of a ball,13
There are no boys kneeling next to each other in front of a ball,14
A tan dog is running through the brush,8
A dog which is tan is running through the brush,10
A tan dog is resting near a brush,8
A white dog with beige spots is running through a field,11
A white dog with beige spots is speeding through a field,11
There is no white dog with beige spots running through a field,12
A horse and its rider are leaping quickly over a barrier,11
A horse and its rider are leaping over a barrier,10
A horse and its rider are not leaping over a barrier,11
The horse is leaping over the rider at the barrier,10
A hurdle is being leapt by a horse that has a rider on its back,15
A horse is leaping a hurdle and has a rider on its back,13
A horse with no rider is falling over a hurdle,10
Some football players in red and white are jumping and hugging,11
Football players in red and white are jumping and hugging each other,12
There are no football players in red and white jumping and hugging each other,14
Two teammates are lifting a football player in a red and white uniform,13
A football player in a red and white uniform is being lifted by two teammates,15
A football player in a red and white uniform is being pulled down by two teammates,16
Two teenage girls are wearing fancy dresses at an event,10
Two girls in their teens are wearing fancy dresses at an event,12
Two old ladies are wearing worn dresses at home,9
A woman in a white dress and a woman in a blue dress are standing on a stage,18
A woman in white clothing and a woman in a blue dress are standing on a stage,17
A woman in a white dress and a woman in a blue dress are standing beside a stage,18
A white woman is standing on a woman dressed in blue on a stage,14
Two women with black hair are standing steadily in front of a plywood wall,14
Two women with black hair are standing in front of a plywood wall,13
There is no woman with black hair standing in front of a plywood wall,14
Two women with folded arms who are young are looking at the screen,13
Two young women with folded arms are looking at the screen,11
Two young women with folded arms are looking away from the screen,12
A group of students in uniforms is listening attentively at the front of the class,15
Some students in uniforms are listening attentively at the front of the class,13
A group of students in uniforms is ignoring the front of the class,13
A classroom full of students is looking in the same direction inside a bamboo structure,15
A classroom full of students is looking attentively in the same direction inside a bamboo structure,16
There is no classroom full of students looking in the same direction inside a bamboo structure,16
A boy is jumping off a platform and two other boys are standing and watching,15
A boy is jumping off a platform and two other boys are standing and staring at him,17
A boy is jumping on a platform and two other boys are sitting absentmindedly,14
Three boys are jumping off a platform,7
Some boys are jumping off a platform,7
Nobody is jumping off a platform,6
A group of kids is playing on a structure which is colorful,12
A group of kids is playing on a colorful structure,10
A group of kids is staring at a colorful structure,10
Four middle eastern children three girls and one boy are climbing on the grotto with a pink interior,18
The grotto with a pink interior is being climbed by four middle eastern children three girls and one boy,19
There is no one climbing on the grotto with a pink interior,12
A group of people is sitting relaxed on both sides of a red stone monument,15
A group of people is sitting on both sides of a red stone structure,14
A group of people is standing on both sides of a red stone structure,14
The group of people is sitting on the ground outside a monument,12
Some people are sitting on the ground outside a monument,10
The group of people is not sitting on the ground outside a monument,13
A child who is small is outdoors climbing steps outdoors in an area full of grass,16
A small child is outdoors climbing steps in a grassy area,11
A small child is lying outdoors in a grassy area,10
A little child in a pink sweater is climbing a concrete staircase,12
A small child in a pink sweater is climbing a concrete staircase,12
There is no small child in a pink sweater climbing a concrete staircase,13
The black bird is sitting comfortably in a leafless tree,10
The black bird is sitting in a leafless tree,9
The black bird is not sitting in a leafless tree,10
A bird which is black is sitting on a dead tree,11
A black bird is sitting on a dead tree,9
A black bird is taking flight from a dead tree,10
A dead bird is near a black man sitting on a tree,12
A child in orange is playing outdoors with a snowball,10
A kid in orange is playing outside with a snowball,10
There is no kid in orange playing outside with a snowball,11
A child is making a snow ball,7
A snow ball is being made by a child,9
A child is smashing a snow ball,7
Three people are sitting on a bench under some palm trees,11
A few people are sitting on a bench under some palm trees,12
Three people are standing by a bench under some palm trees,11
The people are sitting aimlessly on a bench in front of a restaurant,13
The people are sitting on a bench in front of a restaurant,12
The people are not sitting on a bench in front of a restaurant,13
The people are sitting in a restaurant in front of the beach,12
Two people are sitting in lawn chairs and are reading books,11
Some people are sitting in lawn chairs and are reading books,11
There is no one sitting in lawn chairs and reading books,11
Two people in two chairs are reading pleasantly,8
Two people in two chairs are reading,7
Two people in two chairs are talking,7
The back of a small black dog is being sniffed by the brown dog,14
The brown dog is sniffing the back of a small black dog,12
The brown dog is not sniffing the back of a small black dog,13
A large brown dog and a small grey dog are standing on a rocky surface,15
A big brown dog and a small grey dog are standing on a rocky surface,15
There is no large brown dog and small grey dog standing on a rocky surface,15
Three boys are carefully walking on rocks along a river,10
Three boys are walking on rocks along a river,9
Three boys are resting on rocks along a river,9
Three boys are rocking the walk along the river,9
The men in brown shorts are walking on the rocks beside a river,13
The man in brown colored shorts is walking on the rocks beside a river,14
The men in brown shorts are not walking on the rocks beside a river,14
A dog is jumping for a Frisbee in the snow,10
The dog is jumping for a Frisbee in the snow,10
There is no dog jumping for a Frisbee in the snow,11
A black dog in the snow is jumping off the ground and catching a stick,15
A black dog in the snow is leaping off the ground and catching a stick,15
A black dog in the snow is jumping onto the ground and missing a stick,15
A man elegantly dressed in black is wearing an elaborate black mask,12
A man dressed in black is wearing an elaborate black mask,11
There is no man dressed in black wearing an elaborate black mask,12
A man is holding a mask in his raised hand,10
A mask is being held by a man in his raised hand,12
There is no man holding a mask in his raised hand,11
Two children are peering over a ledge which is rusty,10
Two children are peering over a rusty ledge,8
Two children are leaning on a rusty ledge,8
Two children are crouching under some bars made of metal,10
Two children are crouching under some metal bars,8
Two children are stretching over some metal bars,8
The player in purple white and black is playing near the end of the field,15
A player in purple white and black is playing near the end of the field,15
The player in purple white and black is not playing near the end of the field,16
The black player is making the white player a play near the end of a purple field,17
A man is wearing a sports uniform and is running down the field,13
A sports uniform is being worn by a man who is running down the field,15
A man is naked and is lying in the field,10
A man on a bicycle is riding on the beach,10
A man on a bike is riding on the shore,10
There is no man on a bicycle riding on the beach,11
One person is riding a bicycle in the sand beside the ocean,12
A person is riding a bicycle in the sand beside the ocean,12
A person is stopping the bicycle in the sand beside the ocean,12
A large duck is flying over a rocky stream,9
A duck which is large is flying over a rocky stream,11
A large duck is perching over a rocky stream,9
A large stream is full of rocks ducks and flies,10
A seabird is slowly flying over some rocks,8
A seabird is flying over some rocks,7
There is no seabird flying over some rocks,8
The kids are chasing each other in the sand,9
The children are chasing each other in the sand,9
The kids are not chasing each other in the sand,10
A little boy is running on the ground and playing with a little girl,14
The little boy is running on the ground and playing with a little girl,14
There is no little boy running on the ground and playing with a little girl,15
Two small children are playing with a toy car in the street,12
Two children who are small are playing with a toy car in the street,14
Two small children are idling in the street,8
A daughter is being pushed by her father on a go-kart and another girl is watching,16
A father is pushing his daughter on a go-kart and another girl is watching,14
A father is pulling his daughter on a go-kart and another girl is looking away,15
A girl is pushing a go-kart and a daughter is watching her father,13
A dog is quickly running uphill,6
A dog is running uphill,5
A dog is running downhill,5
A dog is running up a hill full of grass,10
A dog is running up a grassy hill,8
There is no dog running up a grassy hill,9
A golden dog is running through a field of tall grass,11
The golden dog is running through a field of tall grass,11
A golden dog is sitting in a field of tall grass,11
A brown dog is running through the grass which is tall and green,13
A brown dog is running through tall green grass,9
There is no brown dog running through tall green grass,10
Two dogs are cheerfully playing on the beach,8
Two dogs are playing on the beach,7
Two dogs are resting on the beach,7
A couple of white dogs are running and jumping along a beach,12
Two white dogs are running and jumping along a beach,10
There are no white dogs running and jumping along a beach,11
The large brown dog is running outdoors in the dirt,10
The large brown dog is running outside in the dirt,10
The large brown dog is not running outside in the dirt,11
A dog is running alongside a fence on a dirt track,11
A dog is running alongside a fence on a track full of dirt,13
A dog is sitting by a fence on a dirt track,11
A young girl in a coat made for winter is jumping off a boulder into the sand at a beach,20
A young girl in a winter coat is jumping off a boulder into the sand at a beach,18
There is no young girl in a winter coat jumping off a boulder into the sand at a beach,19
A girl is jumping off a rock and another is standing on it,13
One girl is jumping off a rock and another is standing on it,13
A girl is jumping on a rock and another is sitting on it,13
The man with brown hair is wearing sunglasses and is sitting listlessly at a table with cans of soda and other drinks,22
The man with brown hair is wearing sunglasses and is sitting at a table with cans of soda and other drinks,21
The man with brown hair is not wearing sunglasses and is not sitting at a table with cans of soda and other drinks,23
A young man with brown hair and shades is sitting in front of some cans of soda,17
A young man with brown hair and sunglasses is sitting in front of some cans of soda,17
There is no young man with brown hair and sunglasses sitting in front of some cans of soda,18
A woman wearing a blue and white uniform with a white and blue hat is keeping her mouth open and is near others dressed in the same fashion,28
The woman wearing the blue and white uniform with a white and blue hat is keeping her mouth open and is near others who are dressed in the same fashion,30
A woman wearing casual clothing is keeping her mouth closed and is near other people dressed differently,17
A woman is wearing a shirt which is blue with a white vest and a white cap and is talking and marching,22
A woman is wearing a blue shirt with a white vest and a white cap and is talking and marching,20
There is no woman wearing a blue shirt with a white vest and a white cap talking and marching,19
A man is uninterestedly holding a sign and is seeking money,11
A man is holding a sign and is seeking money,10
There is no man holding a sign and seeking money,10
A man is seeking a sign and is holding some money,11
A bearded man is standing by a shopping cart and is holding a cardboard sign,15
One bearded man is standing by a shopping cart and is holding a cardboard sign,15
A bearded man is sitting by a shopping cart and is dropping a cardboard sign,15
The snowboarder is doing a flip over a mound of snow,11
A snowboarder is doing a flip over a mound of snow,11
